league,,Unnamed: 0,team,league,Win_Percent
AL,10,220,HOU,AL,0.6621465950570184
AL,18,228,NYY,AL,0.6323952825743342
AL,23,233,SEA,AL,0.5909681892088738
AL,7,217,CLE,AL,0.5759649593986685
AL,28,238,TOR,AL,0.5757694291443801
AL,26,236,TBR,AL,0.5414183045277191
NL,13,223,LAD,NL,0.6690975093506817
NL,17,227,NYM,NL,0.6157641173933409
NL,1,211,ATL,NL,0.6139927895797945
NL,25,235,STL,NL,0.5903385962370903
NL,22,232,SDP,NL,0.5590566149453361
NL,20,230,PHI,NL,0.5473702740164169
