league,,Unnamed: 0,team,league,Win_Percent
AL,2,212,BAL,AL,0.5717351149226425
AL,16,226,MIN,AL,0.5655988096874216
AL,9,219,DET,AL,0.5650385055177203
AL,27,237,TEX,AL,0.5630861253800878
AL,10,220,HOU,AL,0.5620088011581587
AL,7,217,CLE,AL,0.5612181490754204
NL,29,239,WSN,NL,0.5875090136873773
NL,21,231,PIT,NL,0.5645529833604697
NL,6,216,CIN,NL,0.5640032638626677
NL,13,223,LAD,NL,0.5596658030556141
NL,24,234,SFG,NL,0.5562483591073791
NL,14,224,MIA,NL,0.5560419784649174
