,GB,ZSwing,ERA,ER,OBP,SV,K9,Unnamed0,ZContact,Win_Percent
67,44.1,66.6,3.3,529.0,0.339,37.0,10.08,68.0,86.8,0.6296296296296297
68,48.5,66.4,4.51,721.0,0.338,47.0,7.95,69.0,85.3,0.5370370370370371
69,39.4,67.4,5.36,846.0,0.324,32.0,7.62,70.0,85.8,0.3950617283950617
70,47.3,65.8,4.12,662.0,0.346,45.0,9.91,71.0,88.5,0.6234567901234568
71,43.7,71.1,4.63,740.0,0.311,39.0,7.61,72.0,87.1,0.4938271604938271
72,41.6,65.9,4.2,672.0,0.315,43.0,8.2,73.0,86.6,0.4938271604938271
73,42.7,65.2,3.38,543.0,0.334,51.0,9.65,74.0,85.1,0.6419753086419753
74,42.5,64.9,4.82,772.0,0.331,34.0,7.5,75.0,87.1,0.4753086419753086
75,45.7,66.7,4.0,642.0,0.322,54.0,8.38,76.0,82.4,0.5308641975308642
76,42.4,64.8,4.6,734.0,0.334,42.0,7.31,77.0,85.4,0.5246913580246914
77,44.4,65.8,5.01,799.0,0.32,34.0,8.62,78.0,86.2,0.4320987654320987
78,46.2,66.7,3.75,603.0,0.339,36.0,9.69,79.0,84.7,0.5617283950617284
79,44.9,68.4,4.67,743.0,0.319,35.0,7.56,80.0,83.7,0.4629629629629629
80,42.9,66.9,4.57,731.0,0.315,33.0,8.18,81.0,85.2,0.4074074074074074
81,45.2,66.3,4.23,677.0,0.318,36.0,7.88,82.0,86.3,0.4629629629629629
82,47.5,67.0,4.7,747.0,0.299,45.0,8.34,83.0,83.3,0.4382716049382716
83,40.3,65.5,4.46,713.0,0.325,39.0,7.77,84.0,86.1,0.4814814814814814
84,42.5,69.3,4.5,726.0,0.309,32.0,7.65,85.0,86.7,0.3950617283950617
85,46.3,65.7,4.01,647.0,0.334,43.0,8.38,86.0,85.4,0.5123456790123457
86,43.0,70.3,3.99,640.0,0.317,53.0,8.42,87.0,81.3,0.4938271604938271
87,44.2,66.3,4.7,749.0,0.32,29.0,6.95,88.0,84.1,0.4814814814814814
88,45.4,65.0,4.42,720.0,0.312,45.0,8.43,89.0,86.2,0.4691358024691358
89,44.0,65.8,3.88,624.0,0.332,46.0,9.06,90.0,86.0,0.5987654320987654
90,47.3,65.9,3.73,606.0,0.31,39.0,8.91,91.0,84.9,0.5061728395061729
91,43.3,71.6,3.75,607.0,0.324,40.0,8.79,92.0,85.3,0.5555555555555556
92,41.9,68.9,5.19,825.0,0.298,28.0,7.57,93.0,84.4,0.2901234567901234
93,42.4,67.8,3.75,608.0,0.339,46.0,9.61,94.0,87.2,0.6666666666666666
94,45.0,67.6,3.65,598.0,0.333,46.0,8.13,95.0,84.9,0.5828220858895705
95,40.8,68.0,4.85,774.0,0.302,34.0,7.89,96.0,83.8,0.382716049382716
96,44.4,69.1,4.65,745.0,0.328,38.0,7.86,97.0,86.2,0.4135802469135802
