,ERA,ERAgainst,AVGbat,OPS,WPApitch,Batting,HR,EV,WARpitch,FIP,WHIPAllowed,RBI,KtoBB,WARbat,Win_Percent
145,3.82,613.0,0.245,0.737,7.84,-38.2,210.0,87.9,14.9,4.27,1.27,714.0,2.57,22.7,0.5617283950617284
146,3.67,602.0,0.254,0.757,16.26,32.2,217.0,89.5,24.5,3.65,1.17,730.0,3.58,25.9,0.5925925925925926
147,5.09,813.0,0.248,0.75,3.18,-98.8,223.0,89.4,14.2,4.84,1.46,765.0,2.37,8.7,0.4814814814814814
148,4.79,767.0,0.236,0.733,-2.49,-59.4,247.0,88.7,8.9,4.82,1.43,697.0,2.21,11.8,0.4135802469135802
149,4.28,684.0,0.265,0.796,3.04,31.0,231.0,88.6,21.7,4.14,1.29,824.0,2.92,28.2,0.5740740740740741
150,4.84,279.0,0.241,0.704,-2.6,-35.0,58.0,88.0,1.1,5.0,1.43,255.0,2.23,5.7,0.4166666666666667
151,4.46,260.0,0.268,0.832,2.43,59.3,103.0,89.5,4.0,4.42,1.36,338.0,2.3,12.6,0.5833333333333334
152,4.51,260.0,0.258,0.75,-2.02,5.4,77.0,87.0,6.5,4.6,1.31,264.0,2.54,3.7,0.4166666666666667
153,5.58,325.0,0.265,0.775,-5.43,14.6,81.0,88.5,0.1,5.19,1.6,278.0,2.13,7.3,0.4
154,3.99,230.0,0.22,0.705,6.3,-22.9,74.0,88.9,6.5,4.18,1.22,248.0,2.87,7.9,0.5666666666666667
155,3.81,223.0,0.261,0.779,3.53,31.1,96.0,88.7,6.6,4.32,1.26,294.0,2.41,13.3,0.5833333333333334
156,3.89,218.0,0.212,0.715,3.83,-36.2,90.0,88.2,10.1,3.92,1.22,237.0,2.89,3.7,0.5166666666666667
157,3.29,196.0,0.228,0.689,10.19,-27.1,59.0,88.2,11.2,3.55,1.11,234.0,3.96,7.5,0.5833333333333334
158,5.59,327.0,0.257,0.716,1.19,-69.7,63.0,87.0,3.5,5.14,1.49,264.0,1.92,1.8,0.4333333333333333
159,5.63,308.0,0.245,0.7,-3.59,-21.0,62.0,88.5,0.9,5.17,1.43,242.0,2.31,5.4,0.396551724137931
160,4.31,251.0,0.24,0.72,-0.22,-9.3,69.0,88.2,6.3,4.33,1.31,268.0,2.42,5.8,0.4833333333333333
161,4.3,247.0,0.244,0.711,2.39,-26.3,68.0,87.1,4.1,4.5,1.38,237.0,2.45,7.1,0.4333333333333333
162,5.09,297.0,0.248,0.763,-3.47,18.4,85.0,89.1,5.4,4.49,1.32,285.0,2.63,7.2,0.4333333333333333
163,3.02,181.0,0.256,0.821,5.94,59.8,118.0,90.0,8.9,3.79,1.06,327.0,3.57,13.0,0.7166666666666667
164,4.86,272.0,0.244,0.703,1.49,-19.0,60.0,87.4,2.4,5.02,1.45,247.0,2.0,2.3,0.5166666666666667
165,4.18,240.0,0.223,0.702,3.31,-28.3,75.0,88.2,9.1,3.8,1.23,238.0,3.25,4.8,0.4833333333333333
166,3.58,204.0,0.242,0.743,6.74,8.0,91.0,89.1,9.4,3.79,1.2,258.0,3.15,9.8,0.6
167,5.01,286.0,0.272,0.807,-3.97,66.2,86.0,88.4,5.0,4.46,1.42,278.0,2.62,10.2,0.4333333333333333
168,4.35,242.0,0.247,0.789,0.76,45.9,94.0,89.2,5.6,4.39,1.24,301.0,3.14,10.1,0.55
169,3.77,216.0,0.225,0.718,5.9,8.1,71.0,89.0,7.5,4.02,1.23,264.0,3.07,8.3,0.6
170,5.2,287.0,0.257,0.781,-5.2,23.7,82.0,88.2,5.8,4.43,1.48,289.0,2.88,6.3,0.4666666666666667
171,4.68,267.0,0.22,0.641,-3.86,-77.5,59.0,88.1,2.9,4.8,1.36,210.0,2.15,1.4,0.3166666666666666
172,3.87,224.0,0.257,0.798,1.82,46.8,95.0,89.8,8.3,3.88,1.2,312.0,3.32,13.3,0.6166666666666667
173,5.03,289.0,0.226,0.678,-2.36,-22.4,60.0,87.8,3.2,4.91,1.38,244.0,2.04,5.5,0.45
174,4.64,267.0,0.263,0.785,-2.36,34.0,81.0,88.9,3.8,4.45,1.32,290.0,2.32,9.9,0.4833333333333333
175,3.92,206.0,0.234,0.694,2.16,-16.7,51.0,87.3,3.7,4.58,1.23,231.0,2.27,7.5,0.5172413793103449
176,3.56,209.0,0.238,0.753,7.16,29.5,80.0,88.9,7.1,3.94,1.22,274.0,3.29,9.5,0.6666666666666666
177,5.02,288.0,0.217,0.648,-3.6,-62.5,62.0,88.6,2.9,4.88,1.38,204.0,2.07,0.3,0.3666666666666666
178,4.63,270.0,0.255,0.766,1.63,10.7,88.0,89.5,4.0,4.73,1.46,288.0,2.08,5.0,0.5333333333333333
179,5.09,285.0,0.264,0.769,-0.63,12.6,66.0,87.7,2.9,5.02,1.52,279.0,2.35,4.3,0.4333333333333333
180,5.15,811.0,0.236,0.692,-17.28,-119.7,144.0,87.7,3.3,4.88,1.44,644.0,2.23,10.9,0.3209876543209876
181,3.89,610.0,0.244,0.754,7.46,-11.7,239.0,89.4,15.5,4.09,1.24,762.0,2.75,24.0,0.546583850931677
182,5.85,911.0,0.239,0.705,-15.85,-69.3,195.0,88.3,7.8,5.15,1.48,632.0,2.19,6.6,0.3209876543209876
183,4.27,674.0,0.261,0.777,5.56,43.4,219.0,89.9,19.9,3.95,1.38,783.0,2.8,21.6,0.5679012345679012
184,4.88,766.0,0.237,0.719,-4.48,-49.4,210.0,88.7,3.8,4.88,1.4,672.0,2.28,17.2,0.4382716049382716
185,3.73,581.0,0.256,0.758,7.7,60.5,190.0,89.2,27.6,3.74,1.2,757.0,3.27,23.2,0.5740740740740741
186,4.41,703.0,0.249,0.759,6.2,-25.2,222.0,88.4,16.9,4.34,1.36,756.0,2.47,16.4,0.5123456790123457
187,4.34,679.0,0.238,0.71,3.71,-49.6,203.0,88.9,10.7,4.43,1.28,686.0,2.66,16.3,0.4938271604938271
188,4.83,749.0,0.249,0.731,1.87,-145.9,182.0,87.7,13.8,4.47,1.39,709.0,2.35,11.3,0.4596273291925465
189,4.32,681.0,0.242,0.707,4.51,-42.4,179.0,88.4,8.8,4.6,1.37,675.0,2.2,10.5,0.4753086419753086
190,3.8,610.0,0.267,0.783,7.33,110.6,221.0,89.5,16.9,4.12,1.23,834.0,2.65,33.7,0.5864197530864198
191,4.64,731.0,0.249,0.702,-2.74,-85.6,163.0,89.2,12.7,4.39,1.39,647.0,2.27,13.3,0.4567901234567901
192,4.69,741.0,0.245,0.717,-0.48,-50.5,190.0,87.9,16.0,4.25,1.38,691.0,2.45,11.6,0.4753086419753086
193,3.03,489.0,0.244,0.759,20.23,39.5,237.0,89.5,27.1,3.54,1.1,799.0,3.29,29.3,0.654320987654321
194,3.96,622.0,0.233,0.671,-1.92,-131.1,158.0,88.1,15.7,4.01,1.28,594.0,2.61,12.1,0.4135802469135802
195,3.5,558.0,0.233,0.713,16.91,-60.7,194.0,88.4,23.4,3.72,1.18,700.0,3.01,19.1,0.5864197530864198
196,4.83,762.0,0.241,0.738,-1.77,17.5,228.0,89.9,6.8,4.66,1.32,690.0,2.72,21.3,0.4506172839506173
197,3.9,597.0,0.239,0.705,3.43,-28.2,176.0,88.4,16.3,4.04,1.23,604.0,3.06,21.6,0.4753086419753086
198,3.76,600.0,0.237,0.729,9.29,10.6,222.0,89.9,21.7,3.9,1.21,666.0,3.19,16.5,0.5679012345679012
199,4.02,640.0,0.238,0.723,1.43,22.6,199.0,89.0,14.4,4.1,1.26,698.0,3.03,24.6,0.5308641975308642
200,4.39,692.0,0.24,0.726,0.4,-53.8,198.0,88.4,17.3,4.15,1.29,700.0,2.91,18.6,0.5061728395061729
201,5.08,788.0,0.236,0.673,-10.24,-139.4,124.0,87.5,5.7,4.74,1.44,570.0,2.17,7.2,0.3765432098765432
202,4.1,651.0,0.242,0.722,1.95,-18.5,180.0,89.4,13.5,4.18,1.25,695.0,2.94,21.1,0.4876543209876543
203,4.3,688.0,0.226,0.688,6.22,-46.8,199.0,87.9,14.1,4.26,1.28,673.0,2.74,12.3,0.5555555555555556
204,3.25,525.0,0.249,0.769,16.58,52.4,241.0,88.7,22.0,3.55,1.15,768.0,3.43,30.9,0.6604938271604939
205,4.0,629.0,0.244,0.725,7.73,-25.1,198.0,88.7,12.4,4.3,1.3,678.0,2.01,25.6,0.5555555555555556
206,3.67,594.0,0.243,0.75,10.31,69.8,222.0,88.9,18.9,3.79,1.17,810.0,3.39,31.5,0.6172839506172839
207,4.8,760.0,0.232,0.67,-4.72,-122.4,167.0,87.9,5.4,4.76,1.34,598.0,2.42,11.9,0.3703703703703703
208,3.91,610.0,0.266,0.797,8.04,92.2,262.0,90.3,14.5,4.18,1.23,816.0,3.1,29.8,0.5617283950617284
209,4.82,747.0,0.258,0.754,-11.19,10.1,182.0,88.6,6.8,4.87,1.37,686.0,2.46,19.9,0.4012345679012346
