,ERA,ERAgainst,AVGbat,OPS,WPApitch,Batting,HR,EV,WARpitch,FIP,WHIPAllowed,RBI,KtoBB,WARbat,Win_Percent
88,4.42,720.0,0.24,0.724,3.07,-56.8,222.0,87.4,16.6,4.31,1.37,661.0,2.5,8.9,0.4691358024691358
89,3.88,624.0,0.266,0.782,12.02,-9.5,215.0,88.1,23.0,3.99,1.24,796.0,2.94,23.0,0.5987654320987654
90,3.73,606.0,0.235,0.707,2.8,-88.1,176.0,88.3,12.0,3.91,1.25,658.0,2.77,18.5,0.5061728395061729
91,3.75,607.0,0.257,0.742,6.74,-31.1,175.0,88.0,15.1,3.99,1.28,717.0,2.24,25.0,0.5555555555555556
92,5.19,825.0,0.239,0.689,-13.71,-94.5,188.0,88.5,7.1,4.98,1.5,593.0,2.04,4.8,0.2901234567901234
93,3.75,608.0,0.268,0.792,13.92,79.2,208.0,89.8,18.5,3.82,1.25,829.0,3.04,32.3,0.6666666666666666
94,3.65,598.0,0.258,0.744,11.52,1.2,167.0,88.7,14.1,4.14,1.31,722.0,2.14,26.7,0.5828220858895705
95,4.85,774.0,0.241,0.703,-9.91,-60.3,182.0,88.3,9.8,4.73,1.43,639.0,1.93,11.3,0.382716049382716
96,4.65,745.0,0.254,0.729,-7.23,-42.9,172.0,87.3,8.7,4.68,1.4,665.0,2.36,17.2,0.4135802469135802
97,3.77,611.0,0.259,0.766,12.71,41.3,216.0,88.8,22.0,3.78,1.2,786.0,3.79,26.4,0.5617283950617284
98,4.33,699.0,0.256,0.757,7.15,-88.3,210.0,88.9,17.1,4.06,1.31,748.0,2.68,15.8,0.558282208588957
99,4.6,728.0,0.241,0.68,-6.66,-125.0,135.0,87.6,10.0,4.59,1.34,597.0,2.47,4.2,0.3950617283950617
