,WPApitch,Batting,SH,AVGbat,ERAgainst,HBP,Zswingbat,EV,BABIP,Clutch,HRtoFBbat,IFFBpercent,FBpercent,HRtoFB,BBpercentpitch,BBpercentbat,OContactpitch,Zcontactbat,Win_Percent
15,-4.27,-89.4,55.0,0.251,682.0,41.0,68.5,88.0,0.303,-2.9,11.0,8.2,31.7,12.7,8.4,6.8,63.3,86.7,0.419753086419753
16,4.29,-74.9,30.0,0.247,653.0,40.0,66.0,88.1,0.3,3.54,10.6,11.4,35.0,10.4,6.7,7.3,69.5,86.7,0.5123456790123457
17,7.36,-13.1,29.0,0.244,561.0,68.0,66.7,88.7,0.288,-1.06,11.5,11.0,36.1,10.8,6.3,7.9,63.8,87.6,0.5555555555555556
18,7.08,22.3,24.0,0.251,653.0,63.0,64.4,88.2,0.3,-4.73,12.8,10.1,37.9,13.6,7.7,8.8,62.2,87.8,0.5370370370370371
19,-8.93,-33.2,14.0,0.251,668.0,40.0,63.2,87.3,0.289,-0.61,9.3,10.0,34.9,11.4,7.7,7.7,66.6,89.2,0.419753086419753
20,-10.14,-98.4,53.0,0.249,749.0,54.0,67.7,87.4,0.316,-1.97,9.5,8.8,32.5,12.2,7.7,6.4,65.2,87.3,0.3888888888888889
21,15.16,-21.0,63.0,0.26,534.0,89.0,67.1,88.5,0.302,0.39,10.5,7.2,30.9,9.4,7.3,7.3,63.4,85.7,0.6049382716049383
22,-3.9,-68.3,52.0,0.243,655.0,40.0,66.9,87.9,0.303,-3.06,10.3,8.8,34.9,13.3,8.5,7.1,60.4,85.8,0.4567901234567901
23,-2.12,2.3,38.0,0.249,677.0,36.0,67.2,89.9,0.298,-3.8,13.4,8.5,35.1,12.5,7.9,7.8,64.2,85.0,0.4691358024691358
24,2.13,25.9,45.0,0.267,599.0,49.0,69.8,87.6,0.283,-2.64,10.1,6.2,30.7,10.8,7.2,7.4,64.1,87.3,0.5185185185185185
25,19.45,-22.1,39.0,0.253,478.0,66.0,69.3,88.0,0.297,-0.02,10.0,9.3,32.5,9.4,7.8,8.2,66.1,86.8,0.6172839506172839
26,4.19,-2.8,19.0,0.252,604.0,84.0,68.8,87.9,0.284,-4.0,11.1,10.0,36.0,11.2,7.9,7.2,62.3,84.4,0.4938271604938271
27,3.88,-16.8,43.0,0.257,682.0,76.0,64.4,88.6,0.294,0.01,11.5,9.3,35.1,11.2,8.2,8.1,68.1,86.6,0.5432098765432098
28,-1.05,124.9,36.0,0.269,610.0,54.0,64.3,88.8,0.278,-1.51,15.0,14.1,35.4,11.0,6.6,9.1,69.4,86.4,0.5740740740740741
29,1.99,-27.4,55.0,0.251,577.0,44.0,67.8,89.4,0.3,-3.34,13.4,8.7,32.3,10.3,6.1,8.8,65.5,85.7,0.5123456790123457
30,-9.92,-57.6,43.0,0.261,821.0,50.0,65.1,89.0,0.32,-1.52,14.5,8.8,30.8,14.1,9.4,7.4,63.1,86.2,0.4259259259259259
31,-1.8,-104.7,64.0,0.255,725.0,59.0,66.9,88.3,0.293,-3.11,9.1,7.6,31.3,11.7,8.8,8.1,65.0,86.6,0.422360248447205
32,5.74,20.1,17.0,0.256,671.0,44.0,67.9,89.4,0.299,-1.17,15.6,12.2,38.4,12.6,8.9,7.7,66.1,84.7,0.5493827160493827
33,2.97,99.3,8.0,0.282,640.0,43.0,62.8,89.1,0.293,-2.63,13.2,11.2,34.8,11.4,8.1,8.8,64.8,89.2,0.5740740740740741
34,18.68,44.0,42.0,0.256,511.0,96.0,66.7,88.2,0.255,-3.62,13.2,10.0,36.3,13.1,8.3,10.4,59.9,84.7,0.639751552795031
35,-1.37,-24.7,29.0,0.257,662.0,53.0,67.5,88.5,0.298,0.07,11.8,11.7,33.2,12.0,8.4,7.4,65.5,86.1,0.4814814814814814
36,-11.46,-85.5,58.0,0.256,787.0,52.0,68.2,86.8,0.29,4.4,11.7,7.4,33.3,15.9,10.0,7.4,63.8,86.6,0.419753086419753
37,9.57,-1.7,31.0,0.262,619.0,49.0,68.3,88.5,0.289,-1.08,11.8,10.1,36.6,13.7,7.6,8.6,62.4,86.8,0.5838509316770186
38,-6.79,-46.1,54.0,0.275,781.0,40.0,67.9,88.5,0.317,3.57,14.1,8.7,33.8,14.1,8.7,7.9,62.6,86.3,0.4629629629629629
39,3.57,44.0,17.0,0.267,673.0,53.0,66.9,88.9,0.3,-1.5,13.6,8.3,36.5,11.7,7.6,8.0,66.7,86.4,0.5341614906832298
40,4.91,8.2,27.0,0.247,663.0,47.0,68.8,88.7,0.306,-4.49,14.1,8.9,34.7,12.6,7.3,8.9,59.8,83.2,0.5185185185185185
41,4.62,-79.6,38.0,0.261,674.0,45.0,68.9,88.4,0.298,2.28,10.4,10.4,32.8,13.4,8.4,6.3,63.9,87.6,0.5
42,-8.29,-10.6,36.0,0.26,676.0,51.0,67.5,88.4,0.301,1.11,10.1,9.5,34.4,12.5,8.1,7.8,65.2,89.2,0.4567901234567901
43,7.11,-22.2,30.0,0.249,598.0,58.0,67.5,89.3,0.288,0.08,13.9,8.4,32.6,11.7,7.7,8.5,60.3,86.5,0.5617283950617284
44,0.81,-42.5,46.0,0.263,646.0,54.0,63.8,88.4,0.303,-0.07,10.0,8.5,29.7,10.9,9.7,7.3,61.8,88.1,0.4906832298136646
45,2.37,-60.4,53.0,0.244,653.0,37.0,65.7,88.6,0.3,-6.56,15.6,8.1,32.9,12.4,8.6,9.9,67.2,83.5,0.4506172839506173
46,-12.27,-36.3,27.0,0.251,816.0,44.0,63.4,88.5,0.319,-9.54,13.1,9.1,36.6,13.9,7.6,8.2,66.4,85.5,0.3641975308641975
47,10.41,-9.1,35.0,0.246,576.0,62.0,66.6,88.2,0.308,-5.08,13.6,9.6,38.5,11.1,7.2,8.5,63.9,87.4,0.5370370370370371
48,5.36,-60.3,21.0,0.252,661.0,42.0,65.8,88.1,0.292,-0.39,12.4,10.3,34.2,15.5,7.4,7.8,60.7,88.6,0.5185185185185185
49,-7.09,-78.3,13.0,0.246,719.0,33.0,66.3,87.8,0.299,2.17,10.7,9.3,36.4,12.5,7.6,7.3,63.6,87.0,0.4259259259259259
50,-1.51,-138.4,46.0,0.24,741.0,58.0,68.9,88.3,0.304,1.68,12.2,10.6,32.7,13.8,7.6,7.1,63.5,85.4,0.4382716049382716
51,-2.94,-19.8,41.0,0.257,681.0,81.0,66.3,88.0,0.306,-0.02,11.5,8.8,31.7,13.0,8.5,9.0,66.0,86.1,0.484472049689441
52,-5.42,-117.1,36.0,0.235,711.0,58.0,66.6,87.4,0.296,-2.14,13.2,9.9,34.3,12.6,9.1,7.5,65.6,84.3,0.419753086419753
53,1.02,58.2,24.0,0.259,647.0,72.0,66.5,89.4,0.292,-3.53,15.5,9.7,33.6,13.8,7.5,8.1,65.5,86.8,0.5308641975308642
54,8.51,-32.0,42.0,0.258,599.0,42.0,68.7,87.5,0.287,-1.75,8.8,9.7,33.0,10.8,7.3,9.1,63.7,88.5,0.5370370370370371
55,-2.07,36.0,37.0,0.255,656.0,70.0,69.7,88.8,0.304,-1.73,14.3,7.6,37.2,12.8,7.7,8.5,64.9,86.6,0.5308641975308642
56,-4.57,-12.7,18.0,0.243,665.0,69.0,68.2,89.1,0.297,-7.78,13.8,12.4,39.1,13.1,8.1,7.4,63.6,81.7,0.419753086419753
57,4.66,-39.0,18.0,0.262,703.0,70.0,64.8,88.8,0.292,8.2,14.2,10.6,35.0,13.5,8.6,7.2,67.1,86.7,0.5864197530864198
58,8.99,30.9,26.0,0.248,615.0,55.0,64.3,89.2,0.282,-3.94,14.5,11.8,37.0,13.0,7.5,10.1,63.2,85.2,0.5493827160493827
59,9.5,-32.4,48.0,0.256,571.0,64.0,64.2,89.6,0.288,-0.21,13.1,9.6,36.5,10.9,7.8,8.6,61.7,87.0,0.5864197530864198
60,12.72,-40.3,39.0,0.254,588.0,54.0,65.5,88.0,0.294,-0.77,15.7,9.0,34.5,13.1,8.5,9.3,56.9,85.1,0.5740740740740741
61,-7.21,-91.8,59.0,0.263,756.0,66.0,70.9,86.7,0.302,0.59,11.8,7.2,32.0,12.5,9.3,7.6,65.5,86.5,0.4444444444444444
62,-2.44,-36.4,10.0,0.26,796.0,50.0,67.5,88.2,0.302,-0.76,15.2,10.7,35.9,15.4,9.2,6.4,65.5,84.2,0.4629629629629629
63,14.89,-68.9,9.0,0.258,615.0,53.0,62.3,87.3,0.303,2.18,11.0,11.4,34.4,12.7,7.5,9.0,62.9,87.1,0.5740740740740741
64,8.85,11.6,48.0,0.255,636.0,82.0,66.9,87.4,0.285,-5.5,15.6,9.1,34.9,14.5,9.1,9.9,62.3,84.5,0.5679012345679012
65,-7.08,-34.4,35.0,0.256,755.0,76.0,68.9,87.0,0.281,-3.15,13.6,9.3,33.3,14.7,10.2,6.6,66.9,85.1,0.4135802469135802
66,-6.74,-42.1,50.0,0.253,821.0,72.0,67.1,85.5,0.296,-5.9,14.4,9.4,36.6,16.8,10.0,9.1,61.6,86.3,0.419753086419753
67,21.76,37.8,23.0,0.263,529.0,50.0,66.6,88.1,0.303,-7.52,13.2,9.4,36.8,13.0,6.9,9.7,54.7,86.8,0.6296296296296297
68,11.97,-99.4,62.0,0.273,721.0,44.0,66.4,86.8,0.305,-2.22,14.1,7.7,32.9,14.2,8.6,8.4,59.3,85.3,0.5370370370370371
69,-9.79,-18.0,11.0,0.258,846.0,52.0,67.4,87.5,0.32,-2.84,12.7,8.2,34.6,12.8,8.5,8.2,66.7,85.8,0.3950617283950617
