,WPApitch,Batting,SH,AVGbat,ERAgainst,HBP,Zswingbat,EV,BABIP,Clutch,HRtoFBbat,IFFBpercent,FBpercent,HRtoFB,BBpercentpitch,BBpercentbat,OContactpitch,Zcontactbat,Win_Percent
106,-1.16,-31.1,19.0,0.25,722.0,37.0,65.7,87.9,0.302,2.83,10.3,10.1,38.3,13.2,9.1,8.7,62.4,87.2,0.4814814814814814
107,1.51,-45.7,28.0,0.234,661.0,73.0,67.5,87.8,0.295,-5.27,10.9,11.8,38.1,12.2,7.8,9.2,62.6,84.7,0.4753086419753086
108,9.42,88.2,10.0,0.249,611.0,62.0,66.3,89.4,0.3,-1.67,16.9,10.7,38.2,12.9,8.0,10.0,59.9,85.2,0.6172839506172839
109,11.45,89.0,6.0,0.252,622.0,76.0,68.7,89.5,0.27,-3.69,13.8,9.9,38.9,12.2,7.8,8.8,64.4,85.2,0.5987654320987654
110,3.06,-71.4,32.0,0.234,666.0,64.0,66.0,88.1,0.303,0.0,12.7,12.0,37.5,12.4,8.1,9.5,61.2,84.3,0.4938271604938271
111,2.02,-38.5,31.0,0.254,638.0,59.0,69.2,88.2,0.296,-0.31,10.7,9.1,34.7,12.1,8.1,7.8,62.7,86.0,0.5093167701863354
112,-5.23,-116.3,35.0,0.235,714.0,31.0,66.6,88.5,0.305,-2.66,12.9,11.5,31.9,13.6,8.3,7.8,63.5,83.6,0.4074074074074074
113,5.24,-1.3,29.0,0.254,664.0,70.0,67.0,88.7,0.295,4.53,12.1,9.5,34.0,12.7,6.6,7.1,67.0,88.2,0.5493827160493827
114,0.58,-137.5,33.0,0.239,642.0,49.0,68.5,87.6,0.293,1.35,9.8,9.6,33.3,11.0,8.5,7.3,65.8,84.4,0.4506172839506173
115,-0.37,-5.0,46.0,0.249,623.0,80.0,65.6,88.8,0.293,2.85,14.3,8.6,34.8,10.5,9.5,8.5,63.2,86.0,0.5432098765432098
116,11.68,48.9,28.0,0.258,603.0,101.0,69.0,87.7,0.278,-4.51,11.3,10.8,32.4,11.5,8.4,8.7,59.5,84.8,0.5555555555555556
117,-5.74,-84.6,33.0,0.24,783.0,88.0,64.5,88.2,0.299,-3.88,14.0,9.9,35.0,14.1,7.9,9.0,68.3,84.8,0.4135802469135802
